scenario,seed,method,lambda_gain,final_rmse_all,final_rmse_inlier,final_fitness,final_rotation_error_deg,final_translation_error,final_alignment_error,iae_alignment,ise_alignment,mean_alignment_error,tv_translation_update,tv_rotation_update,mean_selected_correspondences,mean_predicted_weight
added_outliers,2,unweighted_icp,0.1,0.06651655562641039,0.03567952536726704,0.39222222222222225,9.47087044757164,0.09589889868267418,0.25712415878480094,9.618010524785502,3.011007646649941,0.3102584040253388,0.002957124195491441,0.2348196518131216,1800.0,0.5245971362258569
added_outliers,2,unweighted_icp,0.2,0.04050028322292407,0.03258882832610597,0.8055555555555556,5.603696991852274,0.04342860332982524,0.13996585647127205,7.855081699017753,2.1303506417409155,0.2533897322263791,0.006953580030509233,0.5455982927164225,1800.0,0.6104702325124849
added_outliers,2,unweighted_icp,0.4,0.015940199100881583,0.015890628032776792,0.9994444444444445,0.4275132769559157,0.002907089650028686,0.023122421520469425,5.06970908624411,1.1967773983784822,0.16353900278206807,0.016692609570180917,1.4101858380849048,1800.0,0.7233969396692664
added_outliers,2,unweighted_icp,0.75,0.015551621818737574,0.01549946724454315,0.9994444444444445,0.07002618766592553,0.0008809831727328761,0.017132866868129707,3.014117731396627,0.6695895608539238,0.09722960423860087,0.03203460482216671,2.7781806731124727,1800.0,0.7913732308188226
added_outliers,2,unweighted_icp,1.0,0.01555162181872281,0.015499467254562787,0.9994444444444445,0.07002527674379841,0.000880981860716082,0.017132856446876874,2.4480572289052884,0.5265327110009641,0.07896958802920286,0.04283995724126258,3.933909794037967,1800.0,0.8103644698828413
clean,0,distance_weighted_icp,0.01,0.09451569677233546,0.03493765261433079,0.2677777777777778,11.301638008055983,0.14589636721248822,0.35342844406538354,11.16265704132133,4.020006472947694,0.36008571101036546,0.0002729825086747619,0.013073558736444061,1800.0,0.5441897754673749
clean,0,distance_weighted_icp,0.03,0.08714436493499349,0.035471008981854485,0.2972222222222222,10.805923378938799,0.1320089678680274,0.3272125665924089,10.754032947075856,3.734919245793215,0.3469042886153502,0.0008720044931549832,0.042771763489411994,1800.0,0.5524408081510909
clean,0,distance_weighted_icp,0.05,0.08015126350705178,0.035132018983964605,0.31722222222222224,10.21311337613097,0.11880873400819719,0.3010911312765586,10.347466170143019,3.4657296899990766,0.3337892312949361,0.0015367344384661227,0.07347695692309478,1800.0,0.5634233182698601
clean,0,distance_weighted_icp,0.1,0.0641021998250457,0.03487929996797873,0.4311111111111111,8.708694146467261,0.08674401425744604,0.23793315554716435,9.342906666289567,2.8619096514999915,0.30138408600934086,0.0031901957151394926,0.16021082959414445,1800.0,0.5950714882251374
clean,0,distance_weighted_icp,0.2,0.03862124337675196,0.03140727445388938,0.8377777777777777,5.30174829603885,0.03667380166303956,0.12831252800018003,7.475019945386419,1.9620794207814176,0.2411296756576264,0.007632517244139861,0.3821443959858112,1800.0,0.6641584774111082
