sample_id,scenario,num_correspondences,positive_ratio,mean_label_distance,mean_distance_T0,mean_point_to_plane_residual
l_shape_scene_change_medium_2,scene_change,1437,0.894919972164231,0.05773278643719573,0.05541843875984501,0.04253375855734424
boxes_cylinder_scene_change_medium_3,scene_change,1432,0.7723463687150838,0.07381605892160686,0.062376230070944866,0.04931275983285536
boxes_cylinder_scene_change_medium_2,scene_change,1426,0.37307152875175315,0.10399141254512198,0.07075879017617859,0.05886394896043047
wall_column_scene_change_hard_mixed,scene_change,1419,0.5778717406624383,0.09344454112806493,0.07436117172499478,0.05227712547653064
wall_column_scene_change_medium_2,scene_change,1407,0.5835110163468372,0.08964659247402468,0.06426086503247479,0.044247320655510416
wall_column_scene_change_medium_3,scene_change,1367,0.3672275054864667,0.10730711830184556,0.08483931360142556,0.06125319169700819
real_20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005_easy,real_previous_registration,1353,0.328159645232816,0.12556609274101074,0.11519524219611425,0.06640943957276745
real_20260626_144015_pallet_rack_05_part1_refined_from_voxel005_easy,real_previous_registration,1353,0.19068736141906872,0.13450693059556346,0.06913944685550032,0.036757241219777095
real_20260626_161831_pallet_rack_cluster021_part1_ransac_icp_voxel005_hard,real_previous_registration,1353,0.2682926829268293,0.1261832733289588,0.09692451581667332,0.04962665590345742
real_20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005_medium,real_previous_registration,1351,0.27757216876387864,0.1708294156247957,0.232341589222378,0.15315000925446864
real_20260626_161911_pallet_rack_cluster021_part1_refined_from_voxel005_easy,real_previous_registration,1349,0.15048183839881393,0.21191185106026034,0.17192447116563422,0.11919442888530742
box_sphere_added_outliers_hard_mixed,added_outliers,1345,0.16728624535315986,0.14933293488880534,0.09766377235814219,0.08666546174818042
box_sphere_added_outliers_medium_3,added_outliers,1310,0.11145038167938931,0.14352048397885953,0.09240122483228558,0.0818367598629786
wall_column_added_outliers_hard_mixed,added_outliers,1304,0.19095092024539878,0.12980079745391537,0.08180175640859513,0.06118893212948919
boxes_cylinder_added_outliers_hard_mixed,added_outliers,1303,0.3545663852647736,0.1285144753642112,0.08844470613354415,0.07447023214909675
real_20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005_medium,real_previous_registration,1302,0.1858678955453149,0.24348900073401658,0.22182743824665366,0.11261268621275111
box_sphere_added_outliers_medium_2,added_outliers,1300,0.42615384615384616,0.09929151418352195,0.07656988923430799,0.0665233876283953
boxes_cylinder_added_outliers_medium_3,added_outliers,1290,0.45193798449612405,0.10566461054134652,0.0758487475116161,0.06214475903203417
l_shape_added_outliers_medium_3,added_outliers,1289,0.25446082234290146,0.12084428261240043,0.08728232435593414,0.07492223090845689
l_shape_added_outliers_hard_mixed,added_outliers,1285,0.10583657587548638,0.14938964587469,0.10286001272032902,0.09211161800454387
l_shape_added_outliers_medium_2,added_outliers,1276,0.5078369905956113,0.09130271422723986,0.06766510788273901,0.05532738842483394
boxes_cylinder_added_outliers_medium_2,added_outliers,1275,0.7215686274509804,0.07198139368959072,0.06086602434467537,0.047844453909537975
wall_column_added_outliers_medium_3,added_outliers,1273,0.5066771406127258,0.09097993128224345,0.06933470478744466,0.049915526828031485
wall_column_added_outliers_medium_2,added_outliers,1267,0.7245461720599842,0.06991389326438405,0.05985633102038273,0.03994448000795135
real_20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005_easy,real_previous_registration,1055,0.27582938388625594,0.18963641773073536,0.1977706195107505,0.11897978707866294
real_20260706_145031_table2_cluster004_table2_refined_from_identity_hard,real_previous_registration,1050,0.16380952380952382,0.1332351449349798,0.10311298728276501,0.08552561588405534
real_20260706_145031_table2_cluster004_table2_refined_from_identity_easy,real_previous_registration,1050,0.4219047619047619,0.11120523474800566,0.13533487042446912,0.12220895029570034
real_20260706_145031_table2_cluster004_table2_refined_from_identity_medium,real_previous_registration,1050,0.2619047619047619,0.14934632102975784,0.15166961490107325,0.12948636268412547
real_20260706_150131_table3_cluster004_table3_refined_from_identity_medium,real_previous_registration,1000,0.088,0.20488803457485313,0.2768673366644508,0.2357627728787333
real_20260706_150131_table3_cluster004_table3_refined_from_identity_easy,real_previous_registration,999,0.07607607607607608,0.27603616224369176,0.15232062457856257,0.0855504243868357
real_20260707_154904_ur10_choko_base_cluster016_base_refined_from_center_v2_medium,real_previous_registration,887,0.10259301014656144,0.14682754894518957,0.05271006060097521,0.033648457958774226
real_20260703_135250_rm00_0260_02_cluster029_full_refined_from_voxel005_medium,real_previous_registration,882,0.3231292517006803,0.12388851490404756,0.11284141450771044,0.05860691972461456
real_20260703_135250_rm00_0260_02_cluster029_full_refined_from_voxel005_easy,real_previous_registration,882,0.6780045351473923,0.09337029006596817,0.06453408697637188,0.0355692034661534
real_20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005_medium,real_previous_registration,881,0.3439273552780931,0.1478134199839435,0.13901728417852044,0.07279196134578034
real_20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005_hard,real_previous_registration,873,0.0882016036655212,0.19849881410323333,0.21937477499667657,0.11396984304866495
real_20260626_163327_pallet_rack_cluster022_part1_ransac_icp_voxel005_hard,real_previous_registration,848,0.07075471698113207,0.32615352305957535,0.41222579355640643,0.3006091549904944
real_20260703_131528_rm00_0260_02_cluster022_part1_ransac_icp_voxel005_easy,real_previous_registration,816,0.20588235294117646,0.1526227901099198,0.16707928604237313,0.09154252768159964
real_20260706_130424_table_cluster004_table1_refined_from_identity_scale1_hard,real_previous_registration,697,0.3299856527977044,0.1288646217265496,0.12292340217501918,0.08961609481341518
real_20260706_130424_table_cluster004_table1_refined_from_identity_scale1_medium,real_previous_registration,697,0.07890961262553801,0.21037709414016234,0.19298380400116463,0.14429884766797277
