num_iterations,final_tau,final_acceptance_ratio,final_mean_residual,final_mean_label_distance,final_control_error,final_precision,final_recall,final_f1,iae,ise,total_variation_tau,sample_id,scenario,lambda_filter
3,0.5005682444854384,0.226,0.06847877389038781,0.08523904058104728,0.02847877389038781,0.415929203539823,0.34814814814814815,0.3790322580645161,0.08530322243423175,0.0024255583961592542,0.0005682444854383517,box_sphere_static_noise_medium_3,static_noise,0.005
2,0.49997342522383226,0.08066666666666666,0.06717585571655865,0.08458347820768271,0.146509189049892,0.4132231404958678,0.13736263736263737,0.2061855670103093,0.293018378099784,0.04292988495211398,2.657477616774262e-05,box_sphere_strong_noise_hard_mixed,strong_noise,0.005
2,0.4997957377001846,0.09666666666666666,0.04540710335179325,0.06785003685008062,0.10874043668512659,0.6620689655172414,0.11188811188811189,0.1914257228315055,0.21748087337025318,0.02364896514094405,0.00020426229981540533,box_sphere_strong_noise_medium_2,strong_noise,0.005
2,0.4997596670402821,0.08666666666666667,0.044300037361539035,0.08214631358378788,0.11763337069487237,0.5,0.11754068716094032,0.19033674963396777,0.23526674138974474,0.027675219802074515,0.000240332959717926,box_sphere_strong_noise_medium_3,strong_noise,0.005
2,0.5001912443936793,0.328472755180353,0.0591244393679299,0.06994095109487393,0.019124439367929902,0.6728971962616822,0.6233766233766234,0.6471910112359551,0.038248878735859804,0.0007314883622752541,0.0001912443936793462,boxes_cylinder_added_outliers_hard_mixed,added_outliers,0.005
2,0.5,0.4792156862745098,0.03088904821779578,0.0455143080455005,0.0,0.8657937806873978,0.575,0.6910516002612672,0.0,0.0,0.0,boxes_cylinder_added_outliers_medium_2,added_outliers,0.005
2,0.5000181594612169,0.3682170542635659,0.04181594612168766,0.06498619342955253,0.0018159461216876588,0.6589473684210526,0.5368782161234992,0.5916824196597353,0.0036318922433753176,6.5953206337448985e-06,1.8159461216860073e-05,boxes_cylinder_added_outliers_medium_3,added_outliers,0.005
2,0.5004194030284745,0.188,0.08494030284745956,0.11620534302385671,0.056940302847459566,0.23404255319148937,0.4370860927152318,0.30484988452655887,0.11388060569491913,0.006484396176720824,0.0004194030284745409,boxes_cylinder_partial_overlap_hard_mixed,partial_overlap,0.005
2,0.5002579120782107,0.31533333333333335,0.06578779282895204,0.07671348772285966,0.025787792828952043,0.5179704016913319,0.5990220048899756,0.5555555555555556,0.0515790006500217,0.001330196659858555,0.00025791207821068696,boxes_cylinder_partial_overlap_medium_2,partial_overlap,0.005
2,0.5,0.44666666666666666,0.03606104671052348,0.05336290580842016,0.0,0.8567164179104477,0.5786290322580645,0.690734055354994,0.0,0.0,0.0,boxes_cylinder_partial_overlap_medium_3,partial_overlap,0.005
2,0.5000539212029986,0.2929014472777395,0.04539212029986732,0.06619519576255674,0.005392120299867319,0.7129411764705882,0.4840255591054313,0.576593720266413,0.010784240599734637,5.814992265648245e-05,5.3921202998630235e-05,boxes_cylinder_scene_change_hard_mixed,scene_change,0.005
2,0.500136003726539,0.2973352033660589,0.05365233686155116,0.06505353705633689,0.013652336861551158,0.6438679245283019,0.5131578947368421,0.5711297071129706,0.027252709515451237,0.0003713564381062216,0.0001360037265389913,boxes_cylinder_scene_change_medium_2,scene_change,0.005
2,0.5,0.46787709497206703,0.024113540462280005,0.04116364609149197,0.0,0.9164179104477612,0.5551537070524413,0.6914414414414415,0.0,0.0,0.0,boxes_cylinder_scene_change_medium_3,scene_change,0.005
2,0.5000696798091487,0.414,0.046967980914869534,0.0693356129360616,0.006967980914869533,0.6103059581320451,0.5812883435582822,0.5954438334642577,0.013935961829739066,9.710551605997211e-05,6.967980914873717e-05,boxes_cylinder_static_noise_hard_mixed,static_noise,0.005
2,0.5000938230378598,0.3893333333333333,0.04939868744408103,0.07611354796903365,0.009398687444081032,0.5582191780821918,0.6070763500931099,0.5816235504014273,0.018780991230052703,0.0001763629500037848,9.382303785976376e-05,boxes_cylinder_static_noise_medium_2,static_noise,0.005
2,0.5000962178473405,0.4013333333333333,0.049621784734043405,0.07565921239846025,0.009621784734043404,0.5631229235880398,0.6289424860853432,0.5942156003505696,0.019243569468086807,0.0001851574829365414,9.621784734048511e-05,boxes_cylinder_static_noise_medium_3,static_noise,0.005
2,0.5002168254222481,0.142,0.07618254222481048,0.10159408133121327,0.09418254222481051,0.28169014084507044,0.30303030303030304,0.29197080291970806,0.18836508444962102,0.01774070251985643,0.00021682542224810142,boxes_cylinder_strong_noise_hard_mixed,strong_noise,0.005
2,0.5000528128278005,0.17333333333333334,0.05194794944671326,0.08276431195538274,0.03861461611337993,0.4461538461538462,0.26605504587155965,0.3333333333333333,0.07722923222675986,0.0029821771551674014,5.281282780045249e-05,boxes_cylinder_strong_noise_medium_2,strong_noise,0.005
2,0.5002487541090437,0.14133333333333334,0.07954207757103963,0.0974294737982193,0.09820874423770631,0.3443396226415094,0.3244444444444444,0.3340961098398169,0.19641748847541263,0.019289914889494428,0.00024875410904368067,boxes_cylinder_strong_noise_medium_3,strong_noise,0.005
